IO名称,通道号,开启显示,关闭显示,使能,保持按钮,模块名称
第四排拍照示教点X2,w6.03,示校完成,点击开始示校,Yes,No,点位示校
第四排拍照示教点X3,w6.04,示校完成,点击开始示校,Yes,No,点位示校
第五排拍照示教点X1,w6.05,示校完成,点击开始示校,Yes,No,点位示校
第五排拍照示教点X2,w6.06,示校完成,点击开始示校,Yes,No,点位示校
第五排拍照示教点X3,w6.07,示校完成,点击开始示校,Yes,No,点位示校
第一排拍照示教点Y1,w6.08,示校完成,点击开始示校,Yes,No,点位示校
第一排拍照示教点Y2,w6.09,示校完成,点击开始示校,Yes,No,点位示校
第一排拍照示教点Y3,w6.10,示校完成,点击开始示校,Yes,No,点位示校
二排拍照点示教Y1,w6.11,示校完成,点击开始示校,Yes,No,点位示校
二排拍照点示教Y2,w6.12,示校完成,点击开始示校,Yes,No,点位示校
二排拍照点示教Y3,w6.13,示校完成,点击开始示校,Yes,No,点位示校
三排拍照点示教Y1,w6.14,示校完成,点击开始示校,Yes,No,点位示校
三排拍照点示教Y2,w6.15,示校完成,点击开始示校,Yes,No,点位示校
,w7.00,示校完成,点击开始示校,No,No,点位示校
三排拍照点示教Y3,w7.01,示校完成,点击开始示校,Yes,No,点位示校
四排拍照点示教Y1,w7.02,示校完成,点击开始示校,Yes,No,点位示校
四排拍照点示教Y2,w7.03,示校完成,点击开始示校,Yes,No,点位示校
四排拍照点示教Y3,w7.04,示校完成,点击开始示校,Yes,No,点位示校
五排拍照点示教Y1,w7.05,示校完成,点击开始示校,Yes,No,点位示校
五排拍照点示教Y2,w7.06,示校完成,点击开始示校,Yes,No,点位示校
五排拍照点示教Y3,w7.07,示校完成,点击开始示校,Yes,No,点位示校
Z轴下测试位示教,w7.08,示校完成,点击开始示校,Yes,No,点位示校
Z轴上待机位示教,w7.09,示校完成,点击开始示校,Yes,No,点位示校
Z轴下预压位示教,w7.10,示校完成,点击开始示校,Yes,No,点位示校
Z1轴下测试位示教,w7.11,示校完成,点击开始示校,Yes,No,点位示校
Z1轴上待机位示教,w7.12,示校完成,点击开始示校,Yes,No,点位示校
Z2下测试位示教,w7.13,示校完成,点击开始示校,Yes,No,点位示校
Z2上待机位示教,w7.14,示校完成,点击开始示校,Yes,No,点位示校
Z3轴下测试位示教,w8.00,示校完成,点击开始示校,Yes,No,点位示校
Z3轴上待机位示教,w8.01,示校完成,点击开始示校,Yes,No,点位示校
平台预位X方向值,w8.02,示校完成,点击开始示校,Yes,No,点位示校
平台预位Y方向值,w8.03,示校完成,点击开始示校,Yes,No,点位示校
